modif	var	 valor 
1	x1	 -   
1	x2	500
1	x3	 -   
1	x4	1000
1	x5	5000
1	x6	 -   
1	xp	 -   
1	s7	 -   
1	z	50000
2	x1	500
2	x2	 -   
2	x3	 -   
2	x4	2000
2	x5	30000
2	x6	 -   
2	xp	 -   
2	s7	 -   
2	z	75000
3	x1	 -   
3	x2	 -   
3	x3	500
3	x4	1
3	x5	20000
3	x6	 -   
3	xp	 -   
3	s7	 -   
3	z	140000
4	x1	 -   
4	x2	 -   
4	x3	416.67
4	x4	833.33
4	x5	 -   
4	x6	83.33
4	xp	 -   
4	s7	 -   
4	z	33333.33
5	x1	 -   
5	x2	 -   
5	x3	 -   
5	x4	1
5	x5	75000
5	x6	 -   
5	xp	500
5	s7	 -   
5	z	75000
6	x1	 -   
6	x2	490
6	x3	10
6	x4	980
6	x5	4700
6	x6	 -   
6	xp	 -   
6	s7	 -   
6	z	49800
